"CTYNAME","pop2021","GrowthRate","popDensity"
"Polk County","498817","15.3729","869.6568"
"Linn County","228592","7.9767","318.8693"
"Scott County","173223","4.8109","378.1425"
"Johnson County","152322","15.9780","248.0654"
"Black Hawk County","130238","-0.7045","230.1969"
"Woodbury County","104291","1.8586","119.4770"
"Dallas County","100453","50.4914","170.7137"
"Dubuque County","98089","4.4289","161.2512"
"Story County","97789","9.0738","170.7567"
"Pottawattamie County","93090","-0.2924","97.9316"
"Warren County","52370","13.0125","91.9051"
"Clinton County","46413","-5.4648","66.7891"
"Muscatine County","42244","-1.3060","96.5691"
"Cerro Gordo County","42066","-4.6058","74.0212"
"Des Moines County","38603","-4.0705","92.7716"
"Marshall County","38331","-5.8715","66.9534"
"Jasper County","37177","0.9915","50.8983"
"Webster County","35034","-7.5108","48.9562"
"Sioux County","34961","3.5759","45.5301"
"Wapello County","34925","-2.1215","80.8749"
"Marion County","33241","0.0482","59.9433"
"Lee County","33153","-7.5204","64.0610"
"Boone County","26078","-0.7347","45.6253"
"Benton County","25685","-1.3860","35.8596"
"Plymouth County","25483","2.0340","29.5343"
"Bremer County","25304","4.1531","58.1065"
"Mahaska County","22249","-0.7096","38.9743"
"Washington County","21779","0.4196","38.2858"
"Buchanan County","21169","0.9297","37.0723"
"Jones County","20697","0.0387","35.9560"
"Carroll County","20189","-3.0494","35.4543"
"Winneshiek County","19939","-5.3948","28.9026"
"Henry County","19796","-1.5418","45.5788"
"Fayette County","19592","-6.0786","26.8084"
"Jackson County","19463","-1.8507","30.6003"
"Buena Vista County","19208","-5.6396","33.4109"
"Cedar County","18753","1.6423","32.3643"
"Poweshiek County","18578","-1.8336","31.7617"
"Jefferson County","18373","9.1228","42.1868"
"Clayton County","17567","-2.8374","22.5652"
"Dickinson County","17532","5.1710","46.0634"
"Delaware County","16871","-5.0270","29.2009"
"Tama County","16824","-5.0511","23.3339"
"Hardin County","16664","-5.0105","29.2705"
"Madison County","16602","5.4832","29.5933"
"Crawford County","16282","-5.1718","22.7979"
"Iowa County","16242","-0.5693","27.6951"
"Clay County","15836","-4.7974","27.9177"
"Floyd County","15422","-5.4387","30.8051"
"Mills County","15191","0.7628","34.7275"
"Page County","14863","-6.6453","27.7842"
"Kossuth County","14683","-5.4235","15.0946"
"Hamilton County","14547","-6.9468","25.2224"
"Butler County","14267","-4.3510","24.5927"
"Harrison County","13937","-6.5196","20.0003"
"O'Brien County","13663","-5.1707","23.8432"
"Allamakee County","13357","-7.1011","20.9003"
"Cass County","12612","-9.4486","22.3510"
"Appanoose County","12476","-2.9558","25.0878"
"Wright County","12306","-6.6667","21.2018"
"Grundy County","12152","-2.4954","24.2142"
"Union County","12127","-3.0848","28.6254"
"Chickasaw County","11895","-4.1499","23.5834"
"Lyon County","11635","0.5879","19.7992"
"Shelby County","11244","-7.6392","19.0325"
"Cherokee County","11115","-8.2164","19.2666"
"Louisa County","10799","-5.1221","26.8785"
"Guthrie County","10627","-2.8344","17.9930"
"Mitchell County","10616","-1.6400","22.6290"
"Hancock County","10470","-7.3205","18.3361"
"Keokuk County","10312","-1.8652","17.8045"
"Franklin County","10040","-6.2208","17.2517"
"Winnebago County","9984","-7.9476","24.9295"
"Montgomery County","9829","-8.0543","23.1763"
"Sac County","9753","-5.8045","16.9611"
"Calhoun County","9582","-5.6890","16.8151"
"Humboldt County","9556","-2.4101","22.0006"
"Clarke County","9181","-1.4914","21.2934"
"Howard County","9130","-4.5778","19.2922"
"Emmet County","9070","-11.7361","22.9109"
"Davis County","9056","3.1905","18.0331"
"Palo Alto County","8852","-5.8097","15.6994"
"Greene County","8734","-6.7080","15.3343"
"Lucas County","8566","-3.7312","19.8930"
"Monona County","8527","-7.7963","12.2855"
"Decatur County","7830","-6.9850","14.7213"
"Monroe County","7585","-5.1519","17.4884"
"Worth County","7317","-3.5078","18.2869"
"Adair County","7308","-4.8314","12.8375"
"Van Buren County","7106","-6.2162","14.6579"
"Fremont County","6918","-6.9411","13.5342"
"Ida County","6888","-2.5191","15.9626"
"Wayne County","6513","1.4644","12.3948"
"Pocahontas County","6429","-11.7986","11.1375"
"Taylor County","6043","-4.4132","11.3611"
"Osceola County","5818","-9.9241","14.5929"
"Audubon County","5546","-9.0521","12.5203"
"Ringgold County","4802","-6.0825","8.9673"
"Adams County","3518","-12.5528","8.3082"
