Co,County Name,District,District Name,ce2019-20,p2024-25
1,Adair,2673,Nodaway Valley,641.6,656.5
1,Adair,4978,Orient-Macksburg,172.1,160.4
2,Adams,1431,Corning,405.6,347.6
3,Allamakee,135,Allamakee,1095.0,1080.7
3,Allamakee,1972,Eastern Allamakee,323.0,322.1
3,Allamakee,5310,Postville,758.0,830.4
4,Appanoose,1071,Centerville,1359.0,1319.0
4,Appanoose,4491,Moravia,341.4,340.4
4,Appanoose,4518,Moulton-Udell,208.5,194.4
5,Audubon,414,Audubon,514.1,528.4
6,Benton,576,Belle Plaine,484.3,502.6
6,Benton,609,Benton,1522.3,1508.7
6,Benton,6660,Vinton-Shellsburg,1522.0,1515.7
7,Black Hawk,1044,Cedar Falls,5371.4,5596.0
7,Black Hawk,1908,Dunkerton,386.0,333.7
7,Black Hawk,3042,Hudson,703.4,707.2
7,Black Hawk,6536,Union,1035.6,960.5
7,Black Hawk,6795,Waterloo,10865.5,10717.2
8,Boone,729,Boone,2094.8,2088.9
8,Boone,3942,Madrid,683.0,694.3
8,Boone,4878,Ogden,626.3,608.9
8,Boone,6561,United,403.3,442.0
9,Bremer,1719,Denver,821.6,980.3
9,Bremer,3186,Janesville Consolidated,436.2,489.7
9,Bremer,6273,Sumner-Fredericksburg,797.3,837.3
9,Bremer,6471,Tripoli,410.0,336.7
9,Bremer,6762,Wapsie Valley,680.6,693.3
9,Bremer,6840,Waverly-Shell Rock,2126.2,2226.9
10,Buchanan,1963,East Buchanan,552.3,507.6
10,Buchanan,3105,Independence,1426.6,1449.2
10,Buchanan,3204,Jesup,883.8,881.3
11,Buena Vista,72,Albert City-Truesdale,216.9,202.2
11,Buena Vista,171,Alta-Aurelia,803.2,853.2
11,Buena Vista,4644,Newell-Fonda,451.1,453.9
11,Buena Vista,6035,Sioux Central,481.4,480.0
11,Buena Vista,6219,Storm Lake,2530.4,2687.7
12,Butler,153,North Butler,560.6,527.4
12,Butler,279,Aplington-Parkersburg,788.0,701.2
12,Butler,1215,Clarksville,295.0,275.0
13,Calhoun,4023,Manson Northwest Webster,642.0,633.7
13,Calhoun,6091,South Central Calhoun,936.2,957.5
14,Carroll,999,Carroll,1701.0,1677.6
14,Carroll,1413,Coon Rapids-Bayard,427.9,442.0
