GEO_ID,Arae Name,Public transportation (excluding taxicab)
0500000US36001,"Albany County, New York",32.4
0500000US36003,"Allegany County, New York",32.5
0500000US36005,"Bronx County, New York",38.9
0500000US36007,"Broome County, New York",24.6
0500000US36009,"Cattaraugus County, New York",52.3
0500000US36011,"Cayuga County, New York",37.3
0500000US36013,"Chautauqua County, New York",30.9
0500000US36015,"Chemung County, New York",35.5
0500000US36017,"Chenango County, New York",49.7
0500000US36019,"Clinton County, New York",43.5
0500000US36021,"Columbia County, New York",54.5
0500000US36023,"Cortland County, New York",29.5
0500000US36025,"Delaware County, New York",48.5
0500000US36027,"Dutchess County, New York",46.6
0500000US36029,"Erie County, New York",34.8
0500000US36031,"Essex County, New York",55.9
0500000US36033,"Franklin County, New York",30.7
0500000US36035,"Fulton County, New York",49.1
0500000US36037,"Genesee County, New York",35.7
0500000US36039,"Greene County, New York",48.9
0500000US36041,"Hamilton County, New York",-
0500000US36043,"Herkimer County, New York",27.8
0500000US36045,"Jefferson County, New York",31.6
0500000US36047,"Kings County, New York",37.8
0500000US36049,"Lewis County, New York",26.8
0500000US36051,"Livingston County, New York",25.6
0500000US36053,"Madison County, New York",34.2
0500000US36055,"Monroe County, New York",31.8
0500000US36057,"Montgomery County, New York",44.4
0500000US36059,"Nassau County, New York",43.5
0500000US36061,"New York County, New York",36.5
0500000US36063,"Niagara County, New York",39.1
0500000US36065,"Oneida County, New York",37
0500000US36067,"Onondaga County, New York",33.9
0500000US36069,"Ontario County, New York",39.3
0500000US36071,"Orange County, New York",44.3
0500000US36073,"Orleans County, New York",34.7
0500000US36075,"Oswego County, New York",33.5
0500000US36077,"Otsego County, New York",51.8
0500000US36079,"Putnam County, New York",47.5
0500000US36081,"Queens County, New York",40.3
0500000US36083,"Rensselaer County, New York",35.1
0500000US36085,"Richmond County, New York",42.7
0500000US36087,"Rockland County, New York",41.5
0500000US36089,"St. Lawrence County, New York",31.9
0500000US36091,"Saratoga County, New York",40.2
0500000US36093,"Schenectady County, New York",37.8
0500000US36095,"Schoharie County, New York",55.9
0500000US36097,"Schuyler County, New York",52.8
0500000US36099,"Seneca County, New York",46.3
0500000US36101,"Steuben County, New York",43.5
0500000US36103,"Suffolk County, New York",44.9
0500000US36105,"Sullivan County, New York",54.8
0500000US36107,"Tioga County, New York",48.7
0500000US36109,"Tompkins County, New York",29.5
0500000US36111,"Ulster County, New York",48.7
0500000US36113,"Warren County, New York",26.6
0500000US36115,"Washington County, New York",34.6
0500000US36117,"Wayne County, New York",46.9
0500000US36119,"Westchester County, New York",43.2
0500000US36121,"Wyoming County, New York",28.2
0500000US36123,"Yates County, New York",-
