LOCATION,Date,TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
AFW,"Sunday, November 28, 2021",2:33 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Landed 2:22 AM
DEN,"Sunday, November 28, 2021",2:51 AM,UA2341,Denver (DEN),United Airlines,B739 (N39475),Landed 2:52 AM
EST,"Sunday, November 28, 2021",8:59 AM,,Estherville (EST),Frontier,PA34 (N1039U),Canceled
ORD,"Sunday, November 28, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N670AE),Landed 10:16 AM
DTW,"Sunday, November 28, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N296PQ),Landed 9:48 AM
ORD,"Sunday, November 28, 2021",10:45 AM,UA3977,Chicago (ORD),United Express,CRJ2 (N461AW),Landed 10:24 AM
ATL,"Sunday, November 28, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N980AT),Landed 10:53 AM
DFW,"Sunday, November 28, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N706SK),Landed 11:32 AM
MSP,"Sunday, November 28, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75S (N607CZ),Landed 11:25 AM
LGA,"Sunday, November 28, 2021",12:46 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N918XJ),Landed 1:13 PM
DEN,"Sunday, November 28, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N463SW),Landed 12:44 PM
CLT,"Sunday, November 28, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N600NN),Landed 12:48 PM
PHX,"Sunday, November 28, 2021",1:45 PM,WN714,Phoenix (PHX),Southwest Airlines,B738 (N8652B),Landed 1:31 PM
ORD,"Sunday, November 28, 2021",2:10 PM,UA6132,Chicago (ORD),United Express,E75L (N89317),Landed 2:54 PM
PHX,"Sunday, November 28, 2021",2:14 PM,AA2592,Phoenix (PHX),American Airlines,A319 (N816AW),Landed 2:16 PM
ORD,"Sunday, November 28, 2021",2:23 PM,AA3076,Chicago (ORD),American Eagle,CRJ7 (N631SK),Landed 2:15 PM
IAH,"Sunday, November 28, 2021",2:33 PM,UA6086,Houston (IAH),United Express,E75L (N88330),Landed 2:40 PM
FLL,"Sunday, November 28, 2021",2:37 PM,G4813,Fort Lauderdale (FLL),Allegiant Air,A320 (N257NV),Landed 2:50 PM
LAX,"Sunday, November 28, 2021",2:40 PM,G4842,Los Angeles (LAX),Allegiant Air,A320 (N247NV),Landed 2:33 PM
SPW,"Sunday, November 28, 2021",3:18 PM,,Spencer (SPW),Frontier,PA46 (N774DM),Landed 3:15 PM
PGD,"Sunday, November 28, 2021",3:31 PM,G4857,Punta Gorda (PGD),Allegiant Air,A320 (N284NV),Landed 4:02 PM
LAS,"Sunday, November 28, 2021",3:59 PM,F91958,Las Vegas (LAS),Frontier,A20N (N352FR),Landed 3:44 PM
ATL,"Sunday, November 28, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N944AT),Landed 3:46 PM
SDF,"Sunday, November 28, 2021",4:09 PM,5X514,Louisville (SDF),UPS,B763 (N368UP),Landed 4:10 PM
DEN,"Sunday, November 28, 2021",4:15 PM,UA405,Denver (DEN),United Airlines,A320 (N497UA),Landed 4:18 PM
ORD,"Sunday, November 28, 2021",4:39 PM,AA3128,Chicago (ORD),SkyWest Airlines,CRJ7 (N604SK),Landed 4:13 PM
DFW,"Sunday, November 28, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N776XF),Landed 4:38 PM
DTW,"Sunday, November 28, 2021",4:45 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N390CA),Landed 4:15 PM
SLC,"Sunday, November 28, 2021",5:04 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N258SY),Landed 4:54 PM
MSP,"Sunday, November 28, 2021",5:09 PM,DL5504,Minneapolis (MSP),Delta Connection,CRJ9 (N313PQ),Landed 4:44 PM
DCA,"Sunday, November 28, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N608NN),Landed 5:12 PM
LAS,"Sunday, November 28, 2021",5:40 PM,WN2562,Las Vegas (LAS),Southwest Airlines,B737 (N209WN),Landed 7:07 PM
OJC,"Sunday, November 28, 2021",5:47 PM,,Kansas City (OJC),Frontier,BE36 (N7287R),Landed 4:56 PM
DEN,"Sunday, November 28, 2021",6:30 PM,WN497,Denver (DEN),Southwest Airlines,B737 (N717SA),Landed 6:57 PM
DFW,"Sunday, November 28, 2021",6:48 PM,AA4055,Dallas (DFW),American Eagle,E75L (N272NN),Landed 6:36 PM
DEN,"Sunday, November 28, 2021",7:00 PM,F9470,Denver (DEN),Frontier,A20N (N353FR),Landed 6:43 PM
ATL,"Sunday, November 28, 2021",7:14 PM,DL5334,Atlanta (ATL),Delta Connection,CRJ9 (N310PQ),Landed 7:20 PM
MEM,"Sunday, November 28, 2021",7:20 PM,FX534,Memphis (MEM),FedEx,A306 (N690FE),Landed 7:16 PM
TRM,"Sunday, November 28, 2021",7:41 PM,,Thermal (TRM),Frontier,PC12 (N698NG),Landed 8:14 PM
DEN,"Sunday, November 28, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N1902U),Landed 7:47 PM
LGA,"Sunday, November 28, 2021",8:18 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N918XJ),Landed 8:06 PM
MSP,"Sunday, November 28, 2021",8:47 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N914XJ),Landed 8:22 PM
ORD,"Sunday, November 28, 2021",9:08 PM,UA1945,Chicago (ORD),United Airlines,B739 (N39463),Landed 8:49 PM
DCA,"Sunday, November 28, 2021",9:49 PM,AA5632,Washington (DCA),American Eagle,CRJ9 (N576NN),Landed 1:08 AM
DTW,"Sunday, November 28, 2021",9:51 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N390CA),Landed 9:36 PM
PIE,"Sunday, November 28, 2021",9:57 PM,G4844,St. Petersburg (PIE),Allegiant Air,A320 (N257NV),Landed 9:56 PM
LAS,"Sunday, November 28, 2021",10:08 PM,G4807,Las Vegas (LAS),Allegiant Air,A320 (N247NV),Landed 10:05 PM
IAH,"Sunday, November 28, 2021",10:22 PM,UA6125,Houston (IAH),United Express,E75L (N84378),Landed 11:19 PM
ORD,"Sunday, November 28, 2021",10:23 PM,AA3064,Chicago (ORD),American Eagle,CRJ7 (N751SK),Landed 9:50 PM
ATL,"Sunday, November 28, 2021",10:30 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N995AT),Landed 10:24 PM
STL,"Sunday, November 28, 2021",10:40 PM,WN1198,St. Louis (STL),Southwest Airlines,B738 (N8645A),Landed 10:37 PM
MIA,"Sunday, November 28, 2021",10:50 PM,AA3558,Miami (MIA),American Eagle,E75L (N271NN),Landed 10:48 PM
DFW,"Sunday, November 28, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N827AW),Landed 11:06 PM
SFB,"Sunday, November 28, 2021",11:08 PM,G4853,Orlando (SFB),Allegiant Air,A320 (N284NV),Landed 12:16 AM
PHX,"Sunday, November 28, 2021",11:53 PM,AA568,Phoenix (PHX),American Airlines,A320 (N124US),Landed 11:42 PM
CLT,"Sunday, November 28, 2021",11:54 PM,AA1152,Charlotte (CLT),American Airlines,A319 (N751UW),Landed 11:41 PM
DEN,"Monday, November 29, 2021",2:51 AM,UA2341,Denver (DEN),United Airlines,B739 (N67815),Landed 2:48 AM
AFW,"Monday, November 29, 2021",3:11 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N919AZ),Landed 2:58 AM
BRL,"Monday, November 29, 2021",9:02 AM,,Burlington (BRL),Frontier,BE55 (N2367P),Landed 9:18 AM
ORD,"Monday, November 29, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N918AE),Landed 9:48 AM
DTW,"Monday, November 29, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N602LR),Landed 9:30 AM
ORD,"Monday, November 29, 2021",10:45 AM,UA3977,Chicago (ORD),United Express,CRJ2 (N430AW),Landed 10:31 AM
MKO,"Monday, November 29, 2021",10:49 AM,,Muskogee (MKO),Frontier,BE9L (N900CT),Landed 12:05 PM
ATL,"Monday, November 29, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N947AT),Landed 10:59 AM
FMS,"Monday, November 29, 2021",11:14 AM,,Fort Madison (FMS),Frontier,BE20 (N208BC),Landed 11:10 AM
MCO,"Monday, November 29, 2021",11:19 AM,F91067,Orlando (MCO),Frontier,A20N (N339FR),Landed 11:48 AM
DFW,"Monday, November 29, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N630SK),Landed 11:13 AM
MSP,"Monday, November 29, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N242SY),Landed 11:27 AM
LGA,"Monday, November 29, 2021",12:46 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N904XJ),Landed 12:28 PM
DEN,"Monday, November 29, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N463SW),Landed 12:39 PM
CLT,"Monday, November 29, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N578NN),Landed 12:47 PM
JBR,"Monday, November 29, 2021",1:14 PM,,Jonesboro (JBR),Frontier,BE9L (N827KB),Landed 1:31 PM
FOD,"Monday, November 29, 2021",1:29 PM,,Fort Dodge (FOD),Frontier,PC12 (N79CS),Landed 1:52 PM
TEB,"Monday, November 29, 2021",1:30 PM,,Teterboro (TEB),Frontier,BE33 (N5500F),Landed 1:17 PM
PHX,"Monday, November 29, 2021",1:45 PM,WN714,Phoenix (PHX),Southwest Airlines,B738 (N8564Z),Landed 1:35 PM
ORD,"Monday, November 29, 2021",2:10 PM,UA6132,Chicago (ORD),United Express,E75L (N80343),Landed 2:16 PM
PHX,"Monday, November 29, 2021",2:14 PM,AA2592,Phoenix (PHX),American Airlines,A319 (N746UW),Landed 3:00 PM
ORD,"Monday, November 29, 2021",2:23 PM,AA3076,Chicago (ORD),American Eagle,CRJ7 (N745SK),Landed 2:08 PM
IAH,"Monday, November 29, 2021",2:33 PM,UA6086,Houston (IAH),United Express,E75L (N88346),Landed 2:57 PM
LAS,"Monday, November 29, 2021",2:38 PM,G4818,Las Vegas (LAS),Allegiant Air,A320 (N257NV),Landed 2:24 PM
MDW,"Monday, November 29, 2021",2:47 PM,WN8624,Chicago (MDW),Southwest Airlines,B737 (N733SA),Landed 3:02 PM
DEN,"Monday, November 29, 2021",3:04 PM,F9470,Denver (DEN),Frontier,A20N (N353FR),Landed 2:44 PM
BNA,"Monday, November 29, 2021",3:10 PM,G4576,Nashville (BNA),Allegiant Air,A319 (N305NV),Landed 2:54 PM
PGD,"Monday, November 29, 2021",3:29 PM,G4822,Punta Gorda (PGD),Allegiant Air,A320 (N247NV),Landed 10:39 PM
SFB,"Monday, November 29, 2021",3:56 PM,G4853,Orlando (SFB),Allegiant Air,A320 (N284NV),Landed 3:55 PM
ATL,"Monday, November 29, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N927AT),Landed 3:51 PM
SJD,"Monday, November 29, 2021",4:14 PM,LXJ454,San Jose del Cabo (SJD),Flexjet,GLF4 (N454FX),Landed 4:16 PM
DEN,"Monday, November 29, 2021",4:15 PM,UA405,Denver (DEN),United Airlines,A319 (N826UA),Landed 4:06 PM
ORD,"Monday, November 29, 2021",4:39 PM,AA3128,Chicago (ORD),American Eagle,E75L (N508SY),Landed 4:23 PM
DFW,"Monday, November 29, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N772XF),Landed 4:36 PM
