DateTime,Scheduled flights,Tracked flights,Percent,,,,,,,
2020-04-09,42.00,33.00,78.6%,,,,,,,
2020-04-10,44.00,33.00,75.0%,,,,,,,
2020-04-11,34.00,22.00,64.7%,,,,,,,
2020-04-12,34.00,16.00,47.1%,,,,,,,
2020-04-13,37.00,22.00,59.5%,,,,,,,
2020-04-14,34.00,26.00,76.5%,,,,,,,
2020-04-15,41.00,26.00,63.4%,,,,,,,
2020-04-16,49.00,27.00,55.1%,,,,,,,
2020-04-17,47.00,24.00,51.1%,,,,,,,
2020-04-18,34.00,18.00,52.9%,,,,,,,
2020-04-19,43.00,21.00,48.8%,,,,,,,
2020-04-20,45.00,22.00,48.9%,,,,,,,
2020-04-21,42.00,26.00,61.9%,,,,,,,
2020-04-22,35.00,16.00,45.7%,,,,,,,
2020-04-23,47.00,24.00,51.1%,,,,,,,
2020-04-24,45.00,23.00,51.1%,,,,,,,
2020-04-25,34.00,21.00,61.8%,,,,,,,
2020-04-26,41.00,21.00,51.2%,,,,,,,
2020-04-27,39.00,20.00,51.3%,,,,,,,
2020-04-28,39.00,20.00,51.3%,,,,,,,
2020-04-29,42.00,27.00,64.3%,,,,,,,
2020-04-30,54.00,30.00,55.6%,,,,,,,
2020-05-01,43.00,34.00,79.1%,,,,,,,
2020-05-02,23.00,20.00,87.0%,,,,,,,
2020-05-03,29.00,25.00,86.2%,,,,,,,
2020-05-04,24.00,21.00,87.5%,,,,,,,
2020-05-05,24.00,22.00,91.7%,,,,,,,
2020-05-06,27.00,25.00,92.6%,,,,,,,
2020-05-07,30.00,26.00,86.7%,,,,,,,
2020-05-08,35.00,29.00,82.9%,,,,,,,
2020-05-09,26.00,21.00,80.8%,,,,,,,
2020-05-10,26.00,22.00,84.6%,,,,,,,
2020-05-11,26.00,23.00,88.5%,,,,,,,
2020-05-12,22.00,22.00,100.0%,,,,,,,
2020-05-13,28.00,24.00,85.7%,,,,,,,
2020-05-14,33.00,31.00,93.9%,,,,,,,
2020-05-15,39.00,32.00,82.1%,,,,,,,
2020-05-16,26.00,20.00,76.9%,,,,,,,
2020-05-17,28.00,24.00,85.7%,,,,,,,
2020-05-18,33.00,28.00,84.8%,,,,,,,
2020-05-19,26.00,25.00,96.2%,,,,,,,
2020-05-20,36.00,31.00,86.1%,,,,,,,
2020-05-21,34.00,31.00,91.2%,,,,,,,
2020-05-22,41.00,34.00,82.9%,,,,,,,
2020-05-22,41.00,34.00,82.9%,,,,,,,
2020-05-23,32.00,28.00,87.5%,,,,,,,
2020-05-24,24.00,22.00,91.7%,,,,,,,
2020-05-25,33.00,28.00,84.8%,,,,,,,
2020-05-26,21.00,19.00,90.5%,,,,,,,
2020-05-27,32.00,30.00,93.8%,,,,,,,
2020-05-28,29.00,26.00,89.7%,,,,,,,
2020-05-29,43.00,38.00,88.4%,,,,,,,
2020-05-30,31.00,25.00,80.6%,,,,,,,
2020-05-31,34.00,32.00,94.1%,,,,,,,
2020-06-01,32.00,29.00,90.6%,,,,,,,
2020-06-02,33.00,31.00,93.9%,,,,,,,
2020-06-03,35.00,32.00,91.4%,,,,,,,
2020-06-04,36.00,31.00,86.1%,,,,,,,
2020-06-05,38.00,34.00,89.5%,,,,,,,
2020-06-06,31.00,29.00,93.5%,,,,,,,
2020-06-07,28.00,27.00,96.4%,,,,,,,
2020-06-08,38.00,33.00,86.8%,,,,,,,
2020-06-09,30.00,27.00,90.0%,,,,,,,
2020-06-10,33.00,31.00,93.9%,,,,,,,
2020-06-11,47.00,43.00,91.5%,,,,,,,
2020-06-12,39.00,37.00,94.9%,,,,,,,
2020-06-13,33.00,31.00,93.9%,,,,,,,
2020-06-14,31.00,29.00,93.5%,,,,,,,
