ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,E_DAYPOP
19,IOWA,IA,Grundy,19075,"Grundy County, Iowa",501.8545244,12341,5574,5137,741,136,35443,500,2496,2886,1255,328,365,15,24,56,58,123,39,180,162,6.1,2.1,35443,5.8,20.2,23.4,10.3,6.4,3,0.2,1,2.2,0.8,3.5,1.3,0.0204,0.0714,0.0204,0.1224,0.2346,0.0102,0.5408,0.6224,0.0918,0.2857,1.5407,0.1633,0.0306,0.1122,0.1428,0.0408,0.0612,0.2143,0.2143,0.1224,0.0612,0.6734,0,2.5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,89,2.3,10240
19,IOWA,IA,Cedar,19031,"Cedar County, Iowa",579.4614036,18445,8214,7546,1168,279,32010,665,3470,4212,1973,381,802,15,63,63,145,391,61,191,316,6.4,2.7,32010,5.1,18.8,22.8,10.8,5,4.3,0.4,1.8,4.8,0.8,2.5,1.7,0.0306,0.2551,0.1531,0.0612,0.5,0.0306,0.3367,0.4592,0.1531,0.0408,0.9898,0.0306,0.2143,0.2959,0.5102,0.2041,0.1837,0.6939,0.2143,0.0102,0.2755,1.3776,0.1122,3.3776,0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,124,2.2,13383
19,IOWA,IA,Winneshiek,19191,"Winneshiek County, Iowa",689.8355627,20401,8927,8205,1553,233,30706,716,3957,3758,2271,369,986,2,31,64,287,287,37,268,2293,8.6,1.9,30706,5.3,19.4,18.4,11.3,4.5,4.8,0.2,3.2,3.2,0.5,3.3,11.2,0.1735,0.0306,0.2551,0.0816,0.5408,0.0408,0.4286,0.0204,0.2449,0.0204,0.7143,0.0204,0.2959,0.1122,0.4081,0.1837,0.4082,0.4388,0.0714,0.0918,1,2.0102,0.3265,3.6734,0.0204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,363,116,1.8,19552
19,IOWA,IA,Benton,19011,"Benton County, Iowa",716.1019435,25626,11131,10224,2306,393,32764,1085,4534,6066,2848,706,896,7,75,75,197,251,91,440,346,9.2,2.9,32764,6.1,17.7,23.7,11.2,6.9,3.5,0.3,1.8,2.3,0.9,4.3,1.4,0.2653,0.3061,0.0918,0.1735,0.8367,0.1327,0.2755,0.6837,0.2245,0.3469,1.5306,0.1531,0.1224,0.2347,0.3571,0.1531,0.1837,0.2245,0.3265,0.3061,0.0918,1.1326,0.0816,3.857,0.0306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,172,2.7,17882
19,IOWA,IA,Bremer,19017,"Bremer County, Iowa",435.4788771,24782,10314,9585,1901,429,32512,623,4760,5479,2435,578,1180,35,94,96,471,202,52,284,1518,8.2,3.2,32512,3.8,19.2,22.1,10,6,4.8,0.4,4.6,2,0.5,3,6.1,0.1327,0.3878,0.1327,0.0102,0.6634,0.0612,0.4082,0.3265,0.0612,0.2041,1,0.0408,0.2959,0.2959,0.5918,0.2755,0.6224,0.1735,0.0714,0.0408,0.8776,1.7857,0.2449,4.0409,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,160,3.2,22757
19,IOWA,IA,Carroll,19027,"Carroll County, Iowa",569.436781,20344,9488,8674,1759,223,30658,892,3954,4963,2118,632,301,113,35,69,551,41,31,386,401,8.8,2.1,30658,6.5,19.4,24.4,10.6,7.3,1.5,0.2,5.8,0.4,0.4,4.5,2,0.2041,0.0714,0.2653,0.2143,0.7551,0.0816,0.4286,0.8061,0.1224,0.4388,1.7959,0.3061,0,0.1122,0.1122,0.0102,0.6837,0,0.0204,0.3469,0.4082,1.4592,0.1327,4.1224,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,160,2.5,20093
19,IOWA,IA,Madison,19121,"Madison County, Iowa",561.0058998,15890,6883,6309,1046,344,33069,554,2608,4064,1974,405,716,15,73,61,102,349,27,278,197,6.7,4,33069,5.1,16.4,25.6,12.6,6.4,4.5,0.5,1.5,5.1,0.4,4.4,1.2,0.051,0.602,0.0714,0.0612,0.7856,0.102,0.1224,0.9388,0.4184,0.2857,1.7653,0.2857,0.2653,0.3571,0.6224,0.2959,0.1224,0.7449,0.0204,0.3163,0.0102,1.2142,0.0918,4.3875,0.0612,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,532,157,3.4,11391
19,IOWA,IA,Butler,19023,"Butler County, Iowa",580.1390895,14735,6774,6251,1355,250,29654,760,3251,3381,1566,364,492,15,23,59,149,165,51,197,258,9.4,3.3,29654,7.3,22.1,22.9,10.8,5.8,3.3,0.2,2.2,2.4,0.8,3.2,1.8,0.2959,0.4286,0.3776,0.3776,1.4797,0.3265,0.8571,0.4898,0.1531,0.1429,1.6429,0.2653,0.0714,0.1122,0.1836,0.0918,0.2755,0.2551,0.2143,0.051,0.2959,1.0918,0.0612,4.398,0.0714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,115,3.2,8824
19,IOWA,IA,Lyon,19119,"Lyon County, Iowa",587.6499996,11769,5016,4549,567,127,29246,719,2071,3339,1240,269,492,15,78,68,206,113,38,110,160,4.9,2,29246,9.4,17.6,28.4,10.7,5.9,4.2,0.7,4.1,2.3,0.8,2.4,1.4,0,0.0612,0.4184,0.7347,1.2143,0.2347,0.2551,0.9898,0.1327,0.1837,1.5613,0.1939,0.2041,0.4796,0.6837,0.3673,0.5816,0.2245,0.2143,0,0.0918,1.1122,0.0714,4.5715,0.0816,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,517,156,4.5,8997
19,IOWA,IA,Delaware,19055,"Delaware County, Iowa",577.6816545,17258,8104,6939,1448,224,31300,1030,3247,4116,1945,461,560,15,20,55,222,371,109,259,238,8.5,2.3,31300,8.7,18.8,23.8,11.4,6.6,3.2,0.1,2.7,4.6,1.6,3.7,1.4,0.1633,0.1224,0.2041,0.6224,1.1122,0.2041,0.3367,0.7143,0.2653,0.3163,1.6326,0.2551,0.0612,0.0204,0.0816,0,0.3673,0.6531,0.6837,0.1735,0.0918,1.9694,0.3061,4.7958,0.0918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,178,2.9,11619
